# Generated by tools/gen_checkdata.py -- do not edit by hand.
# Record types:
#   V|<format version>
#   C|<index>|<key>|<name>|<map,map,...>|<is_goal>
#   L|<id>|<map>|<type>|<arg>|<name>
#   K|<classname>|<item name>      weapon pickup that must be unlocked
#   S|<classname>                  always granted, never randomised
V|1
C|0|black_mesa_inbound|Black Mesa Inbound|hl_c00|0
C|1|anomalous_materials|Anomalous Materials|hl_c01_a1,hl_c01_a2|0
C|2|unforeseen_consequences|Unforeseen Consequences|hl_c02_a1,hl_c02_a2|0
C|3|office_complex|Office Complex|hl_c03|0
C|4|weve_got_hostiles|We've Got Hostiles|hl_c04|0
C|5|blast_pit|Blast Pit|hl_c05_a1,hl_c05_a2,hl_c05_a3|0
C|6|power_up|Power Up|hl_c06|0
C|7|on_a_rail|On A Rail|hl_c07_a1,hl_c07_a2|0
C|8|apprehension|Apprehension|hl_c08_a1,hl_c08_a2|0
C|9|residue_processing|Residue Processing|hl_c09|0
C|10|questionable_ethics|Questionable Ethics|hl_c10|0
C|11|surface_tension|Surface Tension|hl_c11_a1,hl_c11_a2,hl_c11_a3,hl_c11_a4,hl_c11_a5|0
C|12|forget_about_freeman|Forget About Freeman|hl_c12|0
C|13|lambda_core|Lambda Core|hl_c13_a1,hl_c13_a2,hl_c13_a3,hl_c13_a4|0
C|14|xen|Xen|hl_c14|0
C|15|gonarchs_lair|Gonarch's Lair|hl_c15|0
C|16|interloper|Interloper|hl_c16_a1,hl_c16_a2,hl_c16_a3,hl_c16_a4|0
C|17|nihilanth|Nihilanth|hl_c17,hl_c18|1
L|7720000|hl_c01_a1|pickup|item_suit|Anomalous Materials - HEV Suit (Part 1)
L|7720001|hl_c01_a2|map_reached||Anomalous Materials - Part 2 Reached
L|7720002|hl_c02_a1|pickup|weapon_9mmhandgun|Unforeseen Consequences - Glock (Part 1)
L|7720003|hl_c02_a1|pickup|weapon_crowbar|Unforeseen Consequences - Crowbar (Part 1)
L|7720004|hl_c02_a1|pickup|weapon_medkit|Unforeseen Consequences - Medkit (Part 1)
L|7720005|hl_c02_a2|map_reached||Unforeseen Consequences - Part 2 Reached
L|7720006|hl_c02_a2|pickup|weapon_glock|Unforeseen Consequences - Glock (Part 2)
L|7720007|hl_c02_a2|pickup|weapon_handgrenade|Unforeseen Consequences - Hand Grenade (Part 2)
L|7720008|hl_c03|pickup|weapon_handgrenade|Office Complex - Hand Grenade
L|7720009|hl_c03|pickup|weapon_shotgun|Office Complex - Shotgun
L|7720010|hl_c03|kill|monster_miniturret|Office Complex - Mini Turret Slain
L|7720011|hl_c04|pickup|weapon_9mmAR|We've Got Hostiles - MP5
L|7720012|hl_c04|pickup|weapon_m16|We've Got Hostiles - MP5 #2
L|7720013|hl_c04|pickup|weapon_shotgun|We've Got Hostiles - Shotgun
L|7720014|hl_c04|kill|monster_osprey|We've Got Hostiles - Osprey Slain
L|7720015|hl_c04|kill|monster_sentry|We've Got Hostiles - Sentry Turret Slain
L|7720016|hl_c05_a1|pickup|weapon_crowbar|Blast Pit - Crowbar (Part 1)
L|7720017|hl_c05_a1|pickup|weapon_handgrenade|Blast Pit - Hand Grenade (Part 1)
L|7720018|hl_c05_a2|map_reached||Blast Pit - Part 2 Reached
L|7720019|hl_c05_a2|pickup|weapon_handgrenade|Blast Pit - Hand Grenade (Part 2)
L|7720020|hl_c05_a2|kill|monster_tentacle|Blast Pit - Tentacle Slain (Part 2)
L|7720021|hl_c05_a3|map_reached||Blast Pit - Part 3 Reached
L|7720022|hl_c05_a3|pickup|weapon_357|Blast Pit - .357 Magnum (Part 3)
L|7720023|hl_c06|pickup|weapon_357|Power Up - .357 Magnum
L|7720024|hl_c06|pickup|weapon_handgrenade|Power Up - Hand Grenade
L|7720025|hl_c06|pickup|weapon_shotgun|Power Up - Shotgun
L|7720026|hl_c06|kill|monster_gargantua|Power Up - Gargantua Slain
L|7720027|hl_c06|kill|monster_sentry|Power Up - Sentry Turret Slain
L|7720028|hl_c07_a1|pickup|weapon_357|On A Rail - .357 Magnum (Part 1)
L|7720029|hl_c07_a1|pickup|weapon_9mmAR|On A Rail - MP5 (Part 1)
