# Generated by tools/gen_checkdata.py -- do not edit by hand.
# Record types:
#   V|<format version>
#   C|<index>|<key>|<name>|<map,map,...>|<is_goal>
#   L|<id>|<map>|<type>|<arg>|<name>
#   K|<classname>|<item name>      weapon pickup that must be unlocked
#   S|<classname>                  always granted, never randomised
#   D|<data version>               must match the client's, or ids differ
V|1
D|ede02c45dcba
C|0|black_mesa_inbound|Black Mesa Inbound|hl_c00|0
C|1|anomalous_materials|Anomalous Materials|hl_c01_a1,hl_c01_a2|0
C|2|unforeseen_consequences|Unforeseen Consequences|hl_c02_a1,hl_c02_a2|0
C|3|office_complex|Office Complex|hl_c03|0
C|4|weve_got_hostiles|We've Got Hostiles|hl_c04|0
C|5|blast_pit|Blast Pit|hl_c05_a1,hl_c05_a2,hl_c05_a3|0
C|6|power_up|Power Up|hl_c06|0
C|7|on_a_rail|On A Rail|hl_c07_a1,hl_c07_a2|0
C|8|apprehension|Apprehension|hl_c08_a1,hl_c08_a2|0
C|9|residue_processing|Residue Processing|hl_c09|0
C|10|questionable_ethics|Questionable Ethics|hl_c10|0
C|11|surface_tension|Surface Tension|hl_c11_a1,hl_c11_a2,hl_c11_a3,hl_c11_a4,hl_c11_a5|0
C|12|forget_about_freeman|Forget About Freeman|hl_c12|0
C|13|lambda_core|Lambda Core|hl_c13_a1,hl_c13_a2,hl_c13_a3,hl_c13_a4|0
C|14|xen|Xen|hl_c14|0
C|15|gonarchs_lair|Gonarch's Lair|hl_c15|0
C|16|interloper|Interloper|hl_c16_a1,hl_c16_a2,hl_c16_a3,hl_c16_a4|0
C|17|nihilanth|Nihilanth|hl_c17,hl_c18|1
L|7720000|hl_c00|map_reached||Black Mesa Inbound - Reached
L|7720001|hl_c01_a1|map_reached||Anomalous Materials - Part 1 Reached
L|7720053|hl_c01_a1|charger|func_healthcharger:*28|Anomalous Materials - Health Charger 1 (Part 1)
L|7720054|hl_c01_a1|charger|func_healthcharger:*29|Anomalous Materials - Health Charger 2 (Part 1)
L|7720055|hl_c01_a1|charger|func_healthcharger:*235|Anomalous Materials - Health Charger 3 (Part 1)
L|7720002|hl_c01_a2|map_reached||Anomalous Materials - Part 2 Reached
L|7720003|hl_c02_a1|map_reached||Unforeseen Consequences - Part 1 Reached
L|7720056|hl_c02_a1|charger|func_healthcharger:*119|Unforeseen Consequences - Health Charger 1 (Part 1)
L|7720057|hl_c02_a1|charger|func_healthcharger:*277|Unforeseen Consequences - Health Charger 2 (Part 1)
L|7720058|hl_c02_a1|charger|func_healthcharger:*278|Unforeseen Consequences - Health Charger 3 (Part 1)
L|7720004|hl_c02_a2|map_reached||Unforeseen Consequences - Part 2 Reached
L|7720059|hl_c02_a2|charger|func_healthcharger:*1|Unforeseen Consequences - Health Charger 1 (Part 2)
L|7720060|hl_c02_a2|charger|func_healthcharger:*68|Unforeseen Consequences - Health Charger 2 (Part 2)
L|7720061|hl_c02_a2|charger|func_healthcharger:*84|Unforeseen Consequences - Health Charger 3 (Part 2)
L|7720062|hl_c02_a2|charger|func_healthcharger:*85|Unforeseen Consequences - Health Charger 4 (Part 2)
L|7720063|hl_c02_a2|charger|func_healthcharger:*161|Unforeseen Consequences - Health Charger 5 (Part 2)
L|7720064|hl_c02_a2|charger|func_healthcharger:*170|Unforeseen Consequences - Health Charger 6 (Part 2)
L|7720065|hl_c02_a2|charger|func_healthcharger:*231|Unforeseen Consequences - Health Charger 7 (Part 2)
L|7720066|hl_c02_a2|charger|func_healthcharger:*247|Unforeseen Consequences - Health Charger 8 (Part 2)
L|7720005|hl_c03|map_reached||Office Complex - Reached
L|7720067|hl_c03|charger|func_healthcharger:*55|Office Complex - Health Charger 1
L|7720068|hl_c03|charger|func_healthcharger:*68|Office Complex - Health Charger 2
L|7720069|hl_c03|charger|func_healthcharger:*292|Office Complex - Health Charger 3
L|7720070|hl_c03|charger|func_healthcharger:*323|Office Complex - Health Charger 4
L|7720071|hl_c03|charger|func_healthcharger:*508|Office Complex - Health Charger 5
L|7720072|hl_c03|charger|func_healthcharger:*509|Office Complex - Health Charger 6
L|7720073|hl_c03|charger|func_healthcharger:*678|Office Complex - Health Charger 7
L|7720006|hl_c04|map_reached||We've Got Hostiles - Reached
